,Drink,Tags,Category,IBA,Alcoholic type,Glass type,Inuctions,DrinkThumb,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,,,
17182,Duchamp's Punch,,Cocktail,,Alcoholic,Old-fashioned glass,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",https://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg,Pisco,Lime juice,Pineapple Syrup,St. Germain,Bitters,Pepper,50 ml,2.50 ml,2.50 ml,15 ml,1.6 gr,1,,,
13194,Damned if you do,,Shot,,Alcoholic,Shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,Whiskey,Hot Damn,,,,,18.75 ml,6.25 ml,,,,,,,
11326,Dubonnet Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,Stir all ingredients (except Lemon peel) with ice and strain into a cocktail glass. Add the twist of Lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/pfz3hz1582483111.jpg,Dubonnet Rouge,Gin,Bitters,Lemon peel,,,44.25 ml,22.14 ml,0.8 ml,1,,,,,
178334,Death in the Afternoon,Drunk,Cocktail,,Alcoholic,Margarita glass,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg,Absinthe,Champagne,,,,,50 ml,20 ml ,,,,,,,
12668,Egg Cream,,Other / Unknown,,Non alcoholic,Coffee mug,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,Chocolate syrup,Milk,Soda Water,,,,30 ml,177 ml,177 ml,,,,,,
11338,English Highball,,Ordinary Drink,,Alcoholic,Highball glass,"Pour brandy, Gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of Lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,Brandy,Gin,Vermouth,Carbonated water,Lemon peel,,22.14 ml,22.14 ml,22.14 ml,15 ml,1,,,,
17212,Espresso Martini,"IBA,NewEra",Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,Vodka,Kahlua,Sugar Syrup,,,,50 ml,10 ml,0.8 ml,,,,,,
178309,Espresso Rumtini,"DinnerParty,StrongFlavor",Cocktail,,Alcoholic,Cocktail glass,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg,Rum,Vanilla syrup,Espresso,Coffee,,,25 ml,12.5 ml,25 ml,25 ml,,,,,
12916,Egg Nog - Healthy,,Punch / Party Drink,,Optional alcohol,Collins glass,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",https://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg,Egg,Sugar,Condensed milk,Milk,Vanilla extract,Rum,15 ml,35 gr,188.5 ml ,22.5 ml,5 ml,5 ml,,,
11339,English Rose Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,Rub rim of cocktail glass with Lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,Apricot brandy,Gin,Vermouth,Grenadine,Lemon juice,Cherry,22.14 ml,44.25 ml,22.14 ml,5 ml,1.25 ml,1,,,
178346,Elderflower Caipirinha,Brazilian,Cocktail,,Alcoholic,Collins glass,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaça. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg,Cachaça,Lime,Elderflower cordial,,,,60 ml,1,30 ml,,,,,,
17246,Empellón Cocina's Fat-Washed Mezcal,,Cocktail,,Alcoholic,Pilsner glass,"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 40 mloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture.",https://www.thecocktaildb.com/images/media/drink/osgvxt1513595509.jpg,Mezcal,Chocolate liqueur,Coffee liqueur,,,,59 ml,22.14 ml,14.75 ml,,,,,,
178352,Frosé,"Cold, Frozen, Summer",Cocktail,,Alcoholic,Cocktail glass,"Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add Lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.",https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg,Rose,Sugar,Strawberry juice,Lemon juice,,,750 ml,12 gr,236 ml,88.5 ml,,,,,
12768,Frappé,,Coffee / Tea,,Non alcoholic,Highball glass,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,Milk,Coffee,Sugar,,,,15 ml,15 ml,5 gr,,,,,,
11375,Foxy Lady,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,Amaretto,Creme de Cacao,Light cream,,,,14.75 ml,14.75 ml,59 ml,,,,,,
17197,French 75,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Collins glass,"Combine Gin, sugar, and Lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg,Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,44.25 ml,10 gr,44.25 ml,118 ml ,1,1,,,
178344,Figgy Thyme,"Christmas,Sweet",Cocktail,,Alcoholic,Highball glass,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, Lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 1.6 ml of angostura bitters. Garnish with sliced figs and thyme.",https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,Vodka,Honey,Figs,Thyme,Bitters,Tonic Water,59 ml,5 ml,3,1,1.6 ml,234 ml,,,
11382,Frisco Sour,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Shake all ingredients (except slices of Lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of Lemon and lime and serve.,https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg,Blended whiskey,Benedictine,Lemon juice,Lime,Lemon,,59 ml,14.75 ml,6 ml,25 ml,1,1,,,
12670,Fruit Cooler,,Other / Unknown,,Non alcoholic,Highball glass,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut Lemon, reserve two slices. Juice the rest. Mix together the Lemon juice, strawberries, apple juice, and soda water. Add slices of Lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",https://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg,Apple juice,Strawberry,Sugar,Lemon juice ,Apple,Soda Water,30 ml,4,30 gr,25 ml,1,70 ml,,,
14688,Freddy Kruger,,Shot,,Alcoholic,Shot glass,make it an ample size shot!!,https://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg,Jägermeister,Sambuca,Vodka,,,,14.75 ml,14.75 ml,14.75 ml,,,,,,
178328,Funk and Soul,,Cocktail,,Alcoholic,Collins glass,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg,Rum,Apricot Nectar,Pomegranate juice,Lemon juice ,Soda Water,,50 ml,25 ml,25 ml,6 ml,194 ml,,,,
15743,Fuzzy Asshole,,Coffee / Tea,,Alcoholic,Coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,https://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,Coffee,Peach schnapps,,,,,29.5 ml,29.5 ml,,,,,,,
17213,French Martini,"NewEra,IBA",Cocktail,New Era Drinks,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from Lemon peel onto the drink.,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,Vodka,Raspberry Liqueur,Pineapple juice,,,,4.50 ml,15 ml,15 ml,,,,,,
17248,French Negroni,,Cocktail,,Alcoholic,Cocktail glass,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg,Gin,Lillet,Vermouth,Orange peel,,,29.5 ml,29.5 ml,29.5 ml,1,,,,,
13070,Fahrenheit 5000,,Shot,,Alcoholic,Shot glass,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,https://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,Firewater,Absolut Peppar,Tabasco sauce,,,,14.75 ml,14.75 ml,0.8 ml,,,,,,
11368,Flying Dutchman,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine the Gin and triple sec. Stir well.",https://www.thecocktaildb.com/images/media/drink/mwko4q1582482903.jpg,Gin,Triple sec,,,,,59 ml,14.75 ml,,,,,,,
11387,Frozen Daiquiri,,Ordinary Drink,,Alcoholic,Champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,Light rum,Triple sec,Lime juice,Sugar,Cherry,Ice,44.25 ml,15 ml,44.25 ml,3,1,1,,,
12672,Fruit Flip-Flop,,Other / Unknown,,Non alcoholic,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/nfdx6p1484430633.jpg,Yoghurt,Fruit juice,,,,,30 ml,30 ml,,,,,,,
11369,Flying Scotchman,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/q53l911582482518.jpg,Scotch,Vermouth,Bitters,Sugar Syrup,,,29.5 ml,29.5 ml,0.8 ml,1.25 ml,,,,,
17198,French Connection,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,https://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg,Cognac,Amaretto,,,,,44.25 ml,22.14 ml,,,,,,,
13202,Flaming Dr. Pepper,,Shot,,Alcoholic,Collins glass,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",https://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg,Amaretto,Vodka,151 proof rum,Dr. Pepper,Beer,,29.5 ml,29.5 ml,29.5 ml ,29.5 ml,29.5 ml,,,,
16485,Flaming Lamborghini,,Cocktail,,Alcoholic,Cocktail glass,"Pour the Sambuca and Kahlua into the Cocktail glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",https://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,Kahlua,Sambuca,Blue Curacao,Baileys irish cream,,,29.5 ml,29.5 ml,29.5 ml,29.5 ml,,,,,
13675,Flander's Flake-Out,,Ordinary Drink,,Alcoholic,Collins glass,Bang 'em both in.,https://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg,Sambuca,Sarsaparilla,,,,,100 ml,300 ml,,,,,,,
11390,Frozen Mint Daiquiri,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,https://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg,Light rum,Lime juice,Mint,Sugar,,,59 ml,15 ml,6,5 gr,,,,,
11391,Frozen Pineapple Daiquiri,,Ordinary Drink,,Alcoholic,Cocktail glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/k3aecd1582481679.jpg,Light rum,Pineapple,Lime juice,Sugar,,,44.25 ml,1,15 ml,2.5 gr,,,,,
15997,GG,,Ordinary Drink,,Optional alcohol,Collins glass,Pour the Galliano liqueur over ice. Fill the remainder of the glass with Ginger ale and thats all there is to it. You now have a your very own GG.,https://www.thecocktaildb.com/images/media/drink/vyxwut1468875960.jpg,Galliano,Ginger ale,Ice,,,,62.5 ml,237.5 ml,3,,,,,,
17255,Gimlet,,Cocktail,,Alcoholic,Cocktail glass,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.",https://www.thecocktaildb.com/images/media/drink/3xgldt1513707271.jpg,Gin,Lime juice,Sugar Syrup,Lime,,,73.75 ml,14.75 ml,14.75 ml,1,,,,,
11422,Godchild,,Ordinary Drink,,Alcoholic,Champagne flute,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",https://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,Vodka,Amaretto,Heavy cream,,,,29.5 ml,29.5 ml,29.5 ml,,,,,,
11410,Gin Fizz,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Highball glass,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",https://www.thecocktaildb.com/images/media/drink/drtihp1606768397.jpg,Gin,Lemon juice ,Powdered sugar,Soda Water,,,59 ml,25 ml,5 gr,25 ml,,,,,
11417,Gin Sour,Sour,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the Gin, Lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",https://www.thecocktaildb.com/images/media/drink/noxp7e1606769224.jpg,Gin,Lemon juice,Sugar,Orange,Maraschino cherry,,59 ml,29.5 ml,1,1,1,,,,
12758,Gagliardo,,Cocktail,,Alcoholic,Cocktail glass,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",https://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg,Peach Vodka,Lemon juice,Galliano,Roses syrup ,,,147.5 ml,88.5 ml,29.5 ml,29.5 ml,,,,,
11424,Godmother,"IBA,ContemporaryClassic",Ordinary Drink,,Alcoholic,Old-fashioned glass,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,https://www.thecocktaildb.com/images/media/drink/quksqg1582582597.jpg,Vodka,Amaretto,,,,,44.25 ml,22.14 ml,,,,,,,
11423,Godfather,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,https://www.thecocktaildb.com/images/media/drink/e5zgao1582582378.jpg,Scotch,Amaretto,,,,,44.25 ml,22.14 ml,,,,,,,
12944,Gluehwein,,Punch / Party Drink,,Optional alcohol,Irish coffee cup,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add Lemon or orange juice to taste. Serve in irish coffee cup.",https://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,Red wine,Water,Sugar,Cinnamon,Cloves,Lemon peel,1000 ml,125 ml,3,1,3,1,,,
178365,Gin Tonic,,Cocktail,,Alcoholic,Highball glass,"Fill a highball glass with ice, pour the Gin, top with tonic water and squeeze a Lemon wedge and garnish with a Lemon wedge.",https://www.thecocktaildb.com/images/media/drink/qcgz0t1643821443.jpg,Gin,Tonic Water,Lemon peel,Ice,,,40 ml,100 ml,1,3,,,,,
11420,Gin Toddy,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add Gin and one ice cube. Stir, add the twist of Lemon peel, and serve.",https://www.thecocktaildb.com/images/media/drink/jxstwf1582582101.jpg,Gin,Water,Powdered sugar,Lemon peel,,,59 ml,10 ml,2.5 gr,1,,,,,
11416,Gin Smash,"Citrus,StrongFlavor",Ordinary Drink,,Alcoholic,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add Gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/iprva61606768774.jpg,Gin,Carbonated water,Sugar,Mint,Orange,Cherry,59 ml,29.5 ml,1,4,1,1,,,
11408,Gin Daisy,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the Gin, Lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",https://www.thecocktaildb.com/images/media/drink/z6e22f1582581155.jpg,Gin,Lemon juice,Sugar,Grenadine,Maraschino cherry,Orange,59 ml,29.5 ml,2.5 gr,2.5 ml,1,1,,,
178366,Gin Lemon,"simple, classic, refreshing",Cocktail,,Alcoholic,Highball glass,"For the preparation of the Gin Lemon you will not need the shaker. Fill the tumbler with ice, pour the Gin and Lemonade over it. Gently mix and decorate with a slice of Lemon. Those who prefer can also add a few mint leaves. Your Gin Lemon is ready to be served.",https://www.thecocktaildb.com/images/media/drink/6gdohq1681212476.jpg,Gin,Lemon juice,Lemon peel,Ice,,,60 ml,80 ml,1,3,,,,,
11415,Gin Sling,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Dissolve powdered sugar in mixture of water and juice of Lemon. Add Gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,https://www.thecocktaildb.com/images/media/drink/8cl9sm1582581761.jpg,Gin,Lemon juice ,Powdered sugar,Water,Orange peel,,59 ml,25 ml,5 gr,5 ml,1,,,,
17252,Greyhound,,Cocktail,,Alcoholic,Collins glass,"Add the vodka to a Collins glass filled with ice.
Top with Grapefruit juice and stir.

",https://www.thecocktaildb.com/images/media/drink/g5upn41513706732.jpg,Vodka,Grapefruit juice,,,,,44.25 ml,88.5 ml,,,,,,,
17230,Gin Rickey,,Cocktail,,Alcoholic,Highball glass,Half-fill a tall glass with ice. Mix the Gin and Grenadine together and pour over the ice. Add the lime or Lemon juice and top off with soda water. Decorate the glass with lime and/or Lemon slices.,https://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,Gin,Grenadine,Lemon juice,Soda Water,Lime,,59 ml,5 ml,25 ml,210 ml,1,,,,
11418,Gin Squirt,,Ordinary Drink,,Alcoholic,Highball glass,"Stir Gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",https://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,Gin,Grenadine,Powdered sugar,Pineapple juice,Strawberry,Carbonated water,44.25 ml,5 ml,15 gr ,3,2,25 ml,,,
15427,Grand Blue,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Serve in an old fashioned glass.,https://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,Malibu rum,Peach schnapps,Blue Curacao,Sweet and sour,,,15 ml,15 ml,15 ml,30 ml,,,,,
11407,Gin Cooler,,Ordinary Drink,,Alcoholic,Collins glass,Stir powdered sugar and 59 ml. carbonated water in a collins glass. Fill glass with ice and add Gin. Fill with carbonated water and stir. Add the Lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,https://www.thecocktaildb.com/images/media/drink/678xt11582481163.jpg,Gin,Carbonated water,Powdered sugar,Orange spiral,Lemon peel,,59 ml,25 ml,2.5 gr,1,1,,,,
11419,Gin Swizzle,,Ordinary Drink,,Alcoholic,Highball glass,"In a shaker half-filled with ice cubes, combine the Lime juice, sugar, Gin, and bitters. Shake well. Almost fill a Colling Glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",https://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,Lime juice,Sugar,Gin,Bitters,Club soda,,44.25 ml,5 gr,59 ml,0.8 ml,88.5 ml,,,,
11433,Grass Skirt,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the Gin, triple sec, Pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",https://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,Gin,Triple sec,Pineapple juice,Grenadine,Pineapple,,44.25 ml,29.5 ml,29.5 ml,2.5 ml,1,,,,
17200,Grasshopper,"IBA,ContemporaryClassic,Halloween",Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail glass,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,Green Creme de Menthe,Creme de Cacao,Light cream,,,,22.14 ml,22.14 ml ,22.14 ml,,,,,,
14642,Grim Reaper,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,https://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,Kahlua,151 proof rum,Grenadine,,,,29.5 ml,29.5 ml ,0.8 ml,,,,,,
178342,Gin and Soda,"Clear,Alcoholic",Cocktail,,Alcoholic,Highball glass,"Pour the Gin and Soda Water into a highball glass almost filled with ice cubes.
Stir well.
Garnish with the lime wedge.",https://www.thecocktaildb.com/images/media/drink/nzlyc81605905755.jpg,Gin,Soda Water,Lime,,,,59 ml,147.5 ml,1,,,,,,
16262,H.D.,,Coffee / Tea,,Alcoholic,Beer mug,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,https://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,Whiskey,Baileys irish cream,Coffee,,,,40 ml,80 ml,29.5 ml,,,,,,
178316,Honey Bee,Sweet,Cocktail,,Alcoholic,Margarita glass,"Shake ingredients with crushed ice
",https://www.thecocktaildb.com/images/media/drink/vu8l7t1582475673.jpg,White Rum,Honey,Lemon juice,,,,60 ml,20 ml,20 ml,,,,,,
178345,Hot Toddy,Winter,Cocktail,,Alcoholic,Irish coffee cup,"STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of Lemon juice to each, then taste and add more to your preference. Finish each with a slice of Lemon, studded with a clove, and serve immediately.",https://www.thecocktaildb.com/images/media/drink/ggx0lv1613942306.jpg,Whiskey,Honey,Cinnamon,Lemon,Cloves,,50 ml,15 ml,1,1,2,,,,
17202,Horse's Neck,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,"Pour brandy and Ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with Lemon zest. If desired, add dashes of Angostura Bitter.",https://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Lemon peel,Brandy,Ginger ale,Bitters,,,1,59 ml,147.5 ml,1.6 ml,,,,,
12766,Happy Skipper,,Ordinary Drink,,Alcoholic,Highball glass,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",https://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,Spiced rum,Ginger ale,Lime juice,Ice,,,15 ml,15 ml,15 ml,1,,,,,
17239,Hunter's Moon,,Cocktail,,Alcoholic,Balloon glass,"Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with Lemonade and garnishing with a wedge of orange.",https://www.thecocktaildb.com/images/media/drink/t0iugg1509556712.jpg,Vermouth,Maraschino cherry,Sugar Syrup,Lemonade,Blackberries,,25 ml,15 ml,10 ml,100 ml,2,,,,
11470,Havana Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,Light rum,Pineapple juice,Lemon juice,,,,29.5 ml,29.5 ml,5 ml,,,,,,
